     0.000      0.054     -0.002      0.014
     0.050     -0.058     -0.054     -0.024
     0.100     -0.022      0.022      0.000
     0.150      0.034      0.042      0.006
     0.200     -0.044     -0.038      0.134
     0.250      0.018      0.048     -0.120
     0.300      0.068     -0.022      0.056
     0.350      0.008      0.038     -0.036
     0.400     -0.018     -0.006      0.026
     0.450     -0.036      0.004     -0.038
     0.500      0.034      0.054      0.048
     0.550      0.012     -0.028     -0.042
     0.600     -0.048      0.000      0.030
     0.650      0.032      0.022     -0.036
     0.700     -0.038     -0.008     -0.004
     0.750      0.018      0.042      0.020
     0.800      0.028     -0.078     -0.024
     0.850     -0.054      0.022     -0.012
     0.900     -0.010     -0.010      0.004
     0.950     -0.032      0.056     -0.042
     1.000      0.066     -0.006      0.016
     1.050     -0.012      0.012      0.012
     1.100     -0.022     -0.014     -0.002
     1.150     -0.046     -0.004      0.000
     1.200      0.032     -0.026      0.026
     1.250      0.036      0.042     -0.068
     1.300     -0.040     -0.024     -0.044
     1.350     -0.048     -0.012      0.062
     1.400      0.054     -0.004      0.026
     1.450      0.054     -0.016      0.002
     1.500      0.030     -0.012      0.002
     1.550     -0.050      0.018     -0.016
     1.600     -0.080      0.016      0.020
     1.650     -0.008     -0.002     -0.014
     1.700      0.032     -0.046     -0.024
     1.750      0.016      0.010      0.036
     1.800      0.024      0.012     -0.024
     1.850     -0.026      0.024     -0.002
     1.900      0.038     -0.002     -0.032
     1.950      0.000     -0.026      0.048
     2.000     -0.056     -0.008     -0.014
     2.050     -0.014      0.018     -0.032
     2.100      0.030     -0.026      0.012
     2.150      0.028     -0.026      0.002
     2.200      0.030     -0.012      0.000
     2.250     -0.012      0.058      0.024
     2.300     -0.008      0.020      0.016
     2.350     -0.042     -0.052     -0.022
     2.400      0.008     -0.004     -0.026
     2.450      0.066      0.000      0.002
     2.500     -0.026      0.040      0.018
     2.550      0.012      0.000      0.024
     2.600     -0.038      0.000     -0.004
     2.650      0.020      0.006      0.006
     2.700     -0.010      0.014      0.006
     2.750      0.008     -0.020      0.004
     2.800      0.008      0.012     -0.022
     2.850     -0.022     -0.050      0.014
     2.900     -0.026      0.038     -0.050
     2.950      0.018      0.014      0.014
     3.000     -0.020     -0.032      0.040
     3.050      0.024      0.014     -0.034
     3.100      0.018     -0.024      0.016
     3.150     -0.030      0.016     -0.020
     3.200      0.010      0.006      0.004
     3.250     -0.044      0.024     -0.018
     3.300     -0.016     -0.022      0.070
     3.350     -0.020     -0.026     -0.014
     3.400     -0.012      0.040     -0.012
     3.450      0.034      0.022     -0.020
     3.500     -0.010     -0.046      0.012
     3.550     -0.012      0.014     -0.010
     3.600      0.000     -0.018      0.002
     3.650     -0.008      0.026      0.064
     3.700      0.014      0.030      0.018
     3.750     -0.054      0.040      0.004
     3.800      0.032      0.002     -0.066
     3.850      0.052      0.034     -0.030
     3.900      0.020      0.004      0.040
     3.950     -0.002     -0.036      0.000
     4.000     -0.058     -0.006     -0.008
     4.050     -0.016      0.032      0.012
     4.100      0.058     -0.008     -0.002
     4.150      0.018      0.026     -0.008
     4.200      0.038     -0.008      0.006
     4.250     -0.040     -0.058     -0.016
     4.300      0.018      0.040      0.076
     4.350      0.032      0.020     -0.022
     4.400     -0.024      0.034     -0.040
     4.450      0.032      0.026     -0.020
     4.500     -0.006     -0.058      0.018
     4.550     -0.054      0.034     -0.002
     4.600      0.002     -0.020     -0.012
     4.650      0.038     -0.010      0.006
     4.700      0.006     -0.042     -0.020
     4.750     -0.002     -0.020     -0.036
     4.800      0.030      0.034     -0.028
     4.850      0.036     -0.036      0.052
     4.900      0.028      0.026      0.042
     4.950      0.004      0.018     -0.046
     5.000     -0.010     -0.032      0.060
     5.050     -0.024     -0.006     -0.048
     5.100      0.010      0.018     -0.010
     5.150      0.080     -0.024      0.016
     5.200     -0.004      0.000     -0.002
     5.250     -0.046      0.018     -0.012
     5.300     -0.002     -0.042      0.070
     5.350      0.078      0.040     -0.018
     5.400      0.080     -0.036      0.020
     5.450      0.084     -0.030     -0.020
